ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
S1490	ES08	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.209038889	Agricultural	Medium	16.20000076	51.60000229		
S1491	ES08	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.209038889	Agricultural	Medium	16.20000076	51.60000229		
S1492	ES09	SR01	07/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-2.398847222	Forest/Natural	Medium	14.19999981	68.40000153		
S1494	ES10	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.248858333	Agricultural	Medium	14.30000019	58.29999924		
S1495	ES10	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-2.248858333	Agricultural	Medium	14.30000019	58.29999924		
S1496	ES11	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	39	39	-0.655191667	Agricultural	Medium	17.60000038	38.20000076		
S1497	ES11	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	39	39	-0.655191667	Agricultural	Medium	17.60000038	38.20000076		
S1498	ES12	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	38	38	-0.615586111	Agricultural	High	18.70000076	25.30000114		
S1499	ES12	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	38	38	-0.615586111	Agricultural	High	18.70000076	25.30000114		
S1500	ES13	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-7.201355556	Agricultural	High	19.10000038	33.20000076		
S1501	ES13	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-7.201355556	Agricultural	High	19.10000038	33.20000076		
S1502	ES14	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.323038889	Agricultural	High	17.5	36.29999924		
S1503	ES14	SR02	26/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.323038889	Agricultural	High	17.5	36.29999924		
