"species","n_records","crop","countries","sites","temp.mean","temp.sd","temp.median","temp.q05","temp.q25","temp.q75","temp.q90","temp.q95","temp.q99","temp.max","prec.mean","prec.sd","prec.median","prec.q01","prec.q05","prec.q10","prec.q25","prec.q50","prec.q75","prec.min"
"11","Chelidonium majus",306,FALSE,22,2618,17.3335314880178,3.14689760677466,17.5,12.1573455458696,15.2109813073317,19.4560816687039,21.3664430425885,22.509717430166,24.6543100453623,25,7.23073286500862,1.66369249862838,7.07106781186548,3.36040535776679,4.49420222450777,5.09862513880661,6.10858932720567,7.23073286500862,8.35287640281157,1.58113883008419
"12","Brassica rapa",672,TRUE,26,6583,16.3054394265045,2.78724107371974,16.5,11.7208358372085,14.425473890955,18.185404962054,19.8774325880803,20.8900430158005,22.7895317727917,28.5,6.85841238684451,1.62884828057989,6.76756967012531,3.0691446521824,4.179195384779,4.77095932283271,5.75977091696886,6.85841238684451,7.95705385672015,0
"13","Plantago lanceolata",972,FALSE,25,5975,21.0202553694707,2.65340013155561,21,16.655800539328,19.2305641775675,22.8099465613739,24.4207244620821,25.3847101996135,27.1929871244948,27,7.10121630801527,2.28326588835815,7.02139581849649,1.78954556276331,3.34557813025479,4.1750933342353,5.56117686934535,7.10121630801527,8.6412557466852,0
"14","Cardamine dentata",8,FALSE,4,24,15.1047535211268,1.23443906210373,15,13.0742819525749,14.2721370264961,15.9373700157574,16.6867508337352,17.1352250896787,17.9764882088847,18.5,7.39335034819413,1.04905689239265,6.90651871495329,4.95287907682861,5.66780531386364,6.04892984540298,6.68577222690274,7.39335034819413,8.10092846948553,6.12372435695795
"15","Ranunculus sardous",186,FALSE,22,2640,17.868306472576,2.57336458892074,17.5,13.6354983950213,16.1325984338314,19.6040145113206,21.1662058902245,22.1011145501308,23.8548477131438,26.5,7.17751676106819,2.05054308372549,6.78969824734502,2.40724021761425,3.80467353258206,4.54964006190314,5.79444646875988,7.17751676106819,8.5605870533765,2.73861278752583
"16","Vaccinium corymbosum",5,TRUE,3,9,15.7543424317618,4.97560714081832,11.5,7.57019697990113,12.3983464142774,19.1103384492462,22.1308395526124,23.9384878836224,27.3293355258669,22,8.41815776444715,1.02415256501056,7.94355098743629,6.03562262214136,6.73357670333788,7.10565344140135,7.7273773567105,8.41815776444715,9.1089381721838,5.37587198694314
"17","Paeonia mascula",4,FALSE,2,12,16.1919770773639,1.05881295469798,17,14.4503847485657,15.4778185920453,16.9061355626825,17.548900477076,17.9335694061621,18.6551443435324,17,8.3473866168336,1.06455107930779,7.3280284360802,5.87087047667804,6.59635591295908,6.98310951454451,7.62935782528032,8.3473866168336,9.06541540838688,7.3280284360802
"18","Brassica oleracea",535,TRUE,26,5200,16.2190555248109,2.69436916481961,16.5,11.7872126317112,14.4017311398957,18.0363799097261,19.6720285461406,20.6508984179107,22.4870955032702,26.5,6.80870992196681,1.56553503934272,6.67832331427582,3.16673081145543,4.23363393438432,4.80239604138222,5.75277258435732,6.80870992196681,7.86464725957629,0
"19","Olea europaea",111,TRUE,11,900,21.007719123506,2.31900762259427,21,17.1932910245537,19.4435722514396,22.5718659955724,23.9796469727515,24.8221472224583,26.4025375762127,26.5,4.40724381972776,2.20316338755744,3.54964792338621,-0.718080643081114,0.783362530937208,1.58377633125297,2.92123269681299,4.40724381972776,5.89325494264254,0.547722568459617
"20","Quercus pubescens",88,FALSE,13,992,15.6278748850046,2.30904750552654,15,11.829829720736,14.0704460098111,17.1853037601981,18.587038330629,19.4259200492732,20.9995226405456,25,6.73016240856928,1.87303881250329,6.21289001109789,2.37282254910627,3.64928772440237,4.32976658607989,5.46681692781637,6.73016240856928,7.99350788932218,2.25831793709389
"21","Quercus robur",141,FALSE,19,2247,13.4621468448655,2.74610583558271,14,8.94520470121468,11.6099266058113,15.3143670839197,16.9814230776077,17.9790889885163,19.8505443173645,25,6.97742312716057,1.50989389691728,6.84105249504782,3.46488467003981,4.49386867450428,5.04241623975999,5.95901516980624,6.97742312716057,7.9958310845149,2.25831793709389
"22","Aesculus hippocastanum",168,FALSE,21,2337,14.9367132563591,2.32628562076183,15,11.1103139157239,13.3676574491267,16.5057690635914,17.9179682355503,18.7631125969942,20.3484628646301,22,7.18413348569258,1.41953505472246,6.90651871495329,3.88180112901255,4.84920610234759,5.36492611396758,6.22667164123825,7.18413348569258,8.14159533014692,4.37035472015716
