"species","n_records","crop","countries","sites","sites2","abundance","temp.mean","temp.sd","temp.median","temp.q05","temp.q25","temp.q75","temp.q90","temp.q95","temp.q99","temp.max","prec.mean","prec.sd","prec.median","prec.q01","prec.q05","prec.q10","prec.q25","prec.q50","prec.q75","prec.min"
"49","Actinidia chinensis",17,TRUE,8,140,14,0.000721496552334945,18.2873403664631,1.95952819723346,18.5,15.06420330413,16.9656586822089,19.6090220507173,20.7985767953564,21.5104774287962,22.8458846222202,22,73.7352903831591,2.40083791455153,9.28439575739854,4.9823338467392,6.03828447887478,6.601207853558,7.54182813083906,8.58692554894702,9.63202296705498,5.59464039416297
"50","Robinia pseudoacacia",76,FALSE,14,1040,65,0.00345374008904046,16.9803081200048,2.05264506396483,16.5,13.6040074416982,15.5958200635699,18.3647961764397,19.6108786152363,20.3566087983114,21.7554746007198,22,81.5919407236324,4.62273542395019,8.70057495686348,4.03105043850472,5.49630038091545,6.27741970338613,7.58263584244846,9.03282573304901,10.4830156236496,4.78539440589801
"51","Phacelia tanacetifolia",230,FALSE,18,1632,96,0.0148703073721288,18.3938244708027,1.90878894326587,18.5,15.254146054387,17.1063658932823,19.6812830483231,20.8400359293393,21.5335028872184,22.8343315709619,24.5,79.9508719365791,4.32135238267122,9.23038485546513,4.10554511146861,5.52222599971801,6.27745333913418,7.53940510976659,8.94152514600161,10.3436451822366,3.83405787775824
"52","Trifolium pratense",185,FALSE,21,1672,88,0.010331921529291,18.211257791026,2.14360699699906,18,14.6853380472536,16.7654168431015,19.6570987389505,20.9584006939425,21.7371775347985,23.1980333712739,23.5,114.649079518381,4.69375935618535,10.7563936614462,5.66737845092249,7.14384157329096,7.93093860050527,9.24614322209705,10.7074310419625,12.1687188618279,4.03732598881983
"53","Viburnum rhytidophyllum",25,FALSE,6,152,19,0.000461825995135464,14.9038961038961,2.49433195724621,14,10.8010851371987,13.221494765147,16.5862974426452,18.1005111286929,19.0067070705935,20.7065799497879,20,73.482470874845,7.31068856390937,8.14861960886628,2.28214603389948,4.12478960258454,5.10709607076169,6.74848710909212,8.57219171944054,10.395896329789,3.78153410535989
"54","Rosa canina",264,FALSE,25,3825,153,0.00820303564152153,17.9766897493417,2.12046791636998,18,14.4888304062663,16.5464558741305,19.4069236245529,20.6941787272527,21.4645490924171,22.9096357785608,25.5,58.3559843697082,3.86867747308168,7.56967629690993,3.06342596501613,4.40385385756019,5.11843100712292,6.31245809284956,7.63910887274872,8.96575965264788,1.84390891721907
"55","Trifolium alexandrinum",14,FALSE,4,54,9,0.000463745884719783,22.1501294219154,2.03878148625426,22.5,18.7966322996886,20.7749922065474,23.5252666372835,24.7629330274279,25.5036265441423,26.8930443980968,25,80.9719576283477,6.09159481251796,8.98888219135172,3.25674638355192,4.93875299337776,5.83542449318805,7.33372325410948,8.99844195560252,10.6631606570956,3.24037034920393
"57","Hypochaeris radicata",171,FALSE,19,1377,81,0.00454640674253687,18.0677399489749,2.12208417996877,18.5,14.5772220888569,16.6364159205327,19.4990639774171,20.7873002520313,21.5582578090928,23.0044459695809,25.5,79.9671100856148,3.96506357682071,9.01665143221141,4.31010050018924,5.66712369756583,6.3905477427276,7.59935760310117,8.94243311887849,10.2855086346558,3.25576417757798
"58","Aesculus pavia",16,FALSE,4,98,14,0.000316174548536524,15.1708860759494,1.07920215315995,15,13.3957565001104,14.4429752852534,15.8987968666453,16.5539392848706,16.9460156517884,17.6814857106133,17,54.8292002225409,4.68647909670794,7.1274118191669,2.36853182920571,3.84384947253125,4.63033584910636,5.9445201002545,7.40467421447702,8.86482832869954,4.61519242719088
"59","Clematis vitalba",333,FALSE,22,2562,122,0.0162316571050386,21.3945980580609,2.96076068761565,21.5,16.524580102501,19.3975953214807,23.3916007946412,25.1889655524777,26.2646160136209,28.2823573892393,27.5,71.3371201569025,7.1646569693523,8.74642784226795,2.21922377602742,4.04337103541463,5.01581718954654,6.64073207544052,8.44613048424558,10.2515288930506,0.547722568459617
"63","Berberis vulgaris",9,FALSE,6,54,9,0.00029805889547245,12.8355704697987,1,12.5,11.1907168428472,12.1610807196026,13.5100602199947,14.1171220353433,14.4804240967501,15.1619183438395,14,78.5785606998059,5.4193184235277,8.02496115442312,3.4488497463061,5.03532948088081,5.88107595697048,7.29428123610215,8.86445490144802,10.4346285667939,4.1352146715739
