"species","n_records","crop","countries","sites","sites2","abundance","temp.p90.kde","temp.p95.kde","temp.p99.kde","temp.max","prec.p01.kde","prec.p05.kde","prec.p10.kde","prec.min"
"Filipendula vulgaris",47,FALSE,9,31,47,0.0019318411263247,21.7159351984997,23.0741544115485,24.6609699677072,24.39999962,15.6628333298431,37.0328378375158,50.3048222339156,32.40000153
"Verbascum phlomoides",18,FALSE,2,9,18,0.000257563768550743,26.2579289209328,26.8308587617724,27.7622742915856,26.30000114,0.542139495851852,5.95127024275639,11.6823476062166,10.90000057
"Silybum marianum",18,FALSE,6,12,18,0.000484911365287074,25.4993790113874,26.1259999385236,27.088443451486,25.5,1.01319242534202,7.83057732796582,14.7262311213382,1.300000072
"Sambucus ebulus",17,FALSE,5,12,17,0.000287361070259922,25.1136170107558,26.0205842290138,27.2932350142647,26.30000114,1.08139865811221,7.9606298476255,14.7884848027758,10.30000019
"Cerinthe minor",10,FALSE,5,6,10,0.000391339963078561,24.1128451021282,25.0770611800521,26.2586046283854,25.10000038,3.87377405498707,16.4944179593974,26.3049729111078,19.10000038
"Orlaya grandiflora",13,FALSE,3,7,13,0.000859754745468447,23.1900452821498,23.9581552497725,25.2831889850486,24.39999962,13.8768360085578,31.2123038451619,41.2425894047234,46.90000153
"Paliurus spina-christi",23,FALSE,4,15,23,0.00115872416604072,22.548365597906,22.9791338002196,23.8803467603991,25.89999962,4.30229481015072,19.6933044551675,32.411001899833,11.10000038
"Vicia villosa",15,FALSE,7,12,15,0.000376821887610451,21.4374227598365,22.2314642887112,23.5765699278005,22.80000114,1.32699738111883,8.86127875471288,16.2332367733054,22.70000076
"Verbascum lychnitis",11,FALSE,1,4,11,0.000329185543135802,26.6166732743008,27.1081580600145,27.9428595563236,26.20000076,0.0758702834194061,3.89483614420464,8.02114513811317,19.89999962
"Echium italicum",24,FALSE,4,14,24,0.00137465111103166,26.9283066531164,27.5415979731149,28.547638112493,27.70000076,0.114994147997633,4.17593674717103,8.73065534001659,4.400000095
"Ballota nigra",25,FALSE,3,12,25,0.000591654102338735,25.2439342400842,25.6934752528148,26.5183531751671,25.39999962,8.48981058418275,25.9308931649677,37.228493622224,27.20000076
"Capsicum annuum",18,TRUE,5,10,18,0.00045318795169717,27.6379121279421,28.4730746095681,29.6612591248999,28.5,0.100000001,2.20069390379181,5.2268161411685,0.100000001
"Erigeron annuus",26,FALSE,4,16,26,0.000546926877838897,24.2296680818796,24.878540514449,25.9004606295413,24.70000076,24.2379911938298,42.67579511359,52.6685151282846,56.90000153
"Verbascum blattaria",12,FALSE,4,7,12,0.000381553887307644,27.192734795959,27.6704790497505,28.508225294213,27.10000038,0.272835550688766,4.96294426469288,10.3282944747944,1.800000072
"Onopordum illyricum",6,FALSE,2,4,6,0.000121662588912395,22.864007999821,23.7436718432044,25.0939260436695,24,2.51906473326105,12.3167844258243,20.6803747781727,30.30000114
"Securigera varia",15,FALSE,6,12,15,0.000347714441779743,23.926729867947,24.9446100150193,26.148777889596,24.89999962,3.62109999171245,16.825818652713,28.6819567235806,19.10000038
"Galium humifusum",6,FALSE,2,4,6,0.000229687114915494,25.8414171740152,26.3368790411818,27.2178259472538,25.89999962,2.84435084656069,13.0606155970396,21.1629764960987,15.5
"Agrimonia eupatoria",49,FALSE,7,25,49,0.00081870603206263,25.0157569779373,25.6580443435528,26.7260133351972,25.60000038,3.79555789413163,16.5935052458854,27.2156516581436,19.10000038
"Ononis spinosa",25,FALSE,7,15,25,0.0018890587252417,25.5945491544582,26.1148827937586,27.0614418743613,25.89999962,3.57532133180581,17.0066789636701,28.4299359544875,7.099999905
"Portulaca oleracea",81,FALSE,11,38,81,0.00181609302408312,28.3199891849262,29.7796101545113,31.4224763110621,30.5,0,2.30879713446936,5.48134699877307,0
