"species","n_records","crop","countries","sites","sites2","abundance","temp.p90.kde","temp.p95.kde","temp.p99.kde","temp.max","prec.p01.kde","prec.p05.kde","prec.p10.kde","prec.min"
"Nymphaea odorata x Nymphaea tetragona",1,FALSE,1,1,1,6.031867581657e-06,19.2282180202475,19.5921089722823,20.2783050192973,18,54.1150773235932,71.1625911553024,80.2551866945579,112.8000031
"Berteroa spc",1,FALSE,1,1,1,4.08573342263898e-06,19.2282180202475,19.5921089722823,20.2783050192973,18,42.2389215728857,59.2660822024167,68.3556416803065,100.9000015
"Chaenomeles speciosa",2,FALSE,1,2,2,3.60735529513044e-05,14.9921404416161,15.3566787052756,16.0422305418078,13.80000019,0.873411719033168,6.82639743065679,12.4475984428407,35
"Prunus fruticosa",2,FALSE,1,2,2,8.82150767465608e-06,14.9928441097238,15.3610946957069,16.0537396254984,13.90000057,1.06438502931066,7.4181676557513,13.2449402944721,38.90000153
"Saxifraga rosacea",2,FALSE,1,1,2,9.71853077053646e-05,15.02633964006,15.3911277982006,16.0751231577492,13.80000019,0.530876669756238,5.62011739992376,10.6598478053212,35
"Physocarpus opulifolius",2,FALSE,1,2,2,5.36391521923176e-05,19.6276048914586,19.9931567167529,20.6749321145642,18.39999962,3.35922796418118,13.4954215770299,20.9939936152882,51.20000076
"Spiraea blumei",1,FALSE,1,1,1,1.40664961636829e-05,13.0267481743722,13.3910192229158,14.0757729728681,11.80000019,34.6114751962509,51.5943972960272,60.6756690732014,93.20000458
"Spiraea trilobata",1,FALSE,1,1,1,4.0329283887468e-05,13.0267481743722,13.3910192229158,14.0757729728681,11.80000019,34.6114751962509,51.5943972960272,60.6756690732014,93.20000458
"Polygonaceae spc",2,FALSE,1,1,2,1.15452511289902e-05,21.4081780959681,21.865151249532,22.6558035786837,20.70000076,6.85011898456258,20.0204442416859,28.41986872716,57.79999924
"Bellardiochloa variegata",4,FALSE,1,4,4,4.00049359471442e-05,20.8635538344044,21.3502170687466,22.1756880815902,20.30000114,10.0752193328777,25.3608306070721,34.5788592140527,57.79999924
"Tilia americana",3,FALSE,1,2,3,1.84378317875949e-05,21.9173820248147,22.3530411462331,23.1203610532866,21.10000038,3.95604402492495,15.2002890225533,23.4321597551853,40.90000153
"Ornithopus perpusillus",1,FALSE,1,1,1,4.42359071152287e-06,19.6276048914586,19.9931567167529,20.6749321145642,18.39999962,3.83638441895304,14.5097055989132,22.1881572019162,52.70000076
"Iva xanthiifolia",6,FALSE,2,5,6,0.000293446144923275,22.5257656865393,22.9036647517937,23.6152007755301,21.80000114,19.7208300208957,36.4073090732742,45.5789518617749,76.09999847
"Sedum sexangulare",1,FALSE,1,1,1,2.45666638591763e-05,21.8261546048719,22.1897424060957,22.8740513824611,20.60000038,3.41884916076416,13.630332412075,21.1510715015916,51.40000153
"Sagittaria sagittifolia",1,FALSE,1,1,1,4.10403045734205e-05,22.5262959786796,22.8896910870382,23.5746956737655,21.30000114,22.5609548591016,39.2086436323459,48.2319912064223,80.70000458
"Armeria maritima",2,FALSE,1,2,2,1.8706199218686e-05,22.5262959786796,22.8896910870382,23.5746956737655,21.30000114,32.921976121499,51.7945612096247,61.9794894226304,80.70000458
"Rudbeckia laciniata",2,FALSE,1,1,2,5.03032103882123e-05,22.098848008544,22.4678168746443,23.1587263615383,21,9.53577347471256,23.9983121003571,32.6550015812122,63
"Lupinus angustifolius",1,FALSE,1,1,1,7.45888116782483e-06,18.9260559541646,19.2911271565052,19.9724509404729,17.70000076,13.2091757006916,28.7307758083783,37.572521657315,69.80000305
"Vaccinium uliginosum",1,FALSE,1,1,1,1.15533056886926e-05,21.8261546048719,22.1897424060957,22.8740513824611,20.60000038,53.7365484449621,70.7726534249829,79.8584196865047,112.4000015
"Schoenoplectus triqueter",2,FALSE,1,1,2,1.63447238534375e-05,20.288034165126,20.6554230385224,21.3484183177453,19.20000076,106.21446168357,124.537389533894,134.423705365788,158.6000061
"Genista florida",2,FALSE,2,2,2,7.64620869406764e-05,19.7717430950112,20.1942200601235,20.9522511862515,18.89999962,10.4159918288273,26.3540839987546,36.0386180733008,57.5
"Ulex minor",12,FALSE,1,4,12,0.00107564729256319,24.0877878595618,24.4921148440209,25.2368763251778,23.39999962,3.700000048,1.04567495726332,3.03825076863533,3.700000048
"Echium lusitanicum",6,FALSE,1,2,6,0.000463121740728029,20.7959400876117,21.3199608731239,22.1759839890048,20.39999962,19.6017022860309,38.5038169042394,49.351163104413,65.80000305
"Daucus muricatus",2,FALSE,1,1,2,0.000145803232267873,20.5262322870546,20.889675361849,21.5745005786748,19.30000114,25.20000076,3.16909038635991,6.79958426290008,25.20000076
"Adenocarpus complicatus",14,FALSE,2,6,14,0.000995147839903188,25.47093932125,26.1366977289242,27.1035910925336,25.5,1.5,3.18951561212638,7.28695233377824,1.5
"Onobrychis humilis",3,FALSE,1,1,3,0.000320173487137102,22.9387416464163,23.484858580496,24.3643747928199,22.60000038,0.0956346462230339,3.97411777247979,8.14772853658441,25.20000076
"Leontodon tingitanus",8,FALSE,2,5,8,0.000143985374982896,24.2091011761526,24.8255133459064,25.7593466597668,24.20000076,0.518726489920587,6.28578364548391,13.2326906959409,0.600000024
"Eucalyptus viminalis",8,FALSE,2,3,8,0.000104739241329748,24.8510975113694,25.3957215575968,26.2709475725411,24.5,0.621261106533479,6.20285057425927,12.0249415925388,22.70000076
"Sedum anglicum",1,FALSE,1,1,1,2.6028312777204e-05,18.0286789245481,18.3934318542939,19.0786130831256,16.80000114,43.3299955613886,60.3646405759631,69.4565821827002,102
"Ligustrum sinense",1,FALSE,1,1,1,4.54284621270084e-05,17.826970836432,18.1909047104002,18.8753246987644,16.60000038,17.6247959001537,33.8509424179212,42.8151497393085,75.20000458
"Erica umbellata",8,FALSE,1,2,8,0.000633799677342088,22.6048532516787,23.0405689902093,23.8227899777012,21.89999962,0.290121883760403,5.23426848884474,11.3213629183721,6.700000286
"Coleostephus myconis",4,FALSE,2,2,4,0.000391106234469664,18.7433338073603,19.2947186371289,25.7184896159637,25.5,1.04281966051715,7.56368067027803,13.7785691298494,1.5
"Glebionis coronaria",2,FALSE,1,1,2,0.000155296766248873,23.280886624119,23.7677486015744,24.5894109786454,22.70000076,15.10000038,2.52099846253347,5.72843356283462,15.10000038
"Opuntia stricta",2,FALSE,1,1,2,4.51752225307016e-05,24.9751482504402,25.4859585306196,26.3327794678279,24.5,22.70000076,3.35412490959246,7.1247896418555,22.70000076
"Schinus molle",17,FALSE,2,7,17,0.000659329539548645,26.6095685686954,27.647753749672,28.8172149489372,27.5,0.300000012,3.017141398693,6.58766630973203,0.300000012
"Helosciadium nodiflorum",3,FALSE,1,2,3,4.60372528587109e-05,23.7933631745952,24.1954872951895,24.9314303180685,23,15.10000038,3.26910987419428,7.00361658512911,15.10000038
"Melaleuca armillaris",3,FALSE,1,3,3,9.37803669148548e-05,23.584502990584,23.9888534500067,24.7207877889337,22.60000038,0.465658624460051,5.42626368208856,10.4421017555555,23.30000114
"Cistus crispus",13,FALSE,2,4,13,0.000725341753956485,25.803303104801,26.361264221994,27.2463790594053,25.5,1.5,3.60968931652705,7.8069735686266,1.5
"Thapsia villosa",6,FALSE,2,5,6,0.000176174747245565,18.5709090592826,19.1028195465752,20.0350437501015,18.89999962,3.18005864372942,13.4726214507754,21.3931313861561,36.29999924
"Hypericum humifusum",2,FALSE,1,1,2,4.64683420617255e-05,22.7142996158521,23.2467782338099,24.1332832698179,22.39999962,1.09472778408395,9.16839766271837,19.368728843059,4.800000191
"Torilis arvensis",11,FALSE,1,6,11,0.000467807131622096,25.1310784670987,25.5950239337636,26.402468547413,24.5,0.72225774568619,6.40738052049481,12.0123005931004,15.10000038
"Salpichroa origanifolia",1,FALSE,1,1,1,1.74108358290226e-05,26.5263067040198,26.889810169813,27.574848807376,25.30000114,0,0.613288065264683,2.20991631317111,0
"Mentha suaveolens",1,FALSE,1,1,1,9.35385053786422e-06,24.6265842823848,24.990543272361,25.6745692442514,23.39999962,3.700000048,0.812814868748634,2.59258096210204,3.700000048
"Cycas revoluta",1,FALSE,1,1,1,8.54340542187024e-05,24.2270432412787,24.5914892018357,25.275017773884,23,27,3.52373110145131,7.3856960129764,27
"Nicotiana glauca",3,FALSE,1,1,3,0.000150806694529179,26.4848902197261,26.8555551021033,27.5484455218042,25.30000114,0,0.76908053483077,2.51788534527117,0
"Vachellia karroo",1,FALSE,1,1,1,6.59547391135949e-06,25.327460740365,25.691264027738,26.3767318054966,24.10000038,0.100000001,0.618364591458923,2.21973997415927,0.100000001
"Chlorophytum comosum",1,FALSE,1,1,1,3.92187240635202e-05,25.327460740365,25.691264027738,26.3767318054966,24.10000038,0.100000001,0.618364591458923,2.21973997415927,0.100000001
"Asparagus densiflorus",5,FALSE,1,2,5,0.000193788260934271,26.6437896610657,27.0345595905544,27.7644103527114,25.89999962,0,0.61354975353294,2.21042286073093,0
"Eryngium tenue",1,FALSE,1,1,1,2.00035063113605e-05,23.9280785566014,24.2922412249255,24.9776335833825,22.70000076,7.300000191,1.04525336098143,3.03235258303258,7.300000191
"Ulex argenteus",2,FALSE,1,1,2,2.41655048049191e-05,24.6265842823848,24.990543272361,25.6745692442514,23.39999962,3.700000048,0.812814868748634,2.59258096210204,3.700000048
"Paspalum dilatatum",4,FALSE,2,2,4,9.25479469495897e-05,26.7606335540626,27.1546725593794,27.8870891048785,25.89999962,0,0.614496805243242,2.21225592299973,0
"Carlina spc",6,FALSE,1,3,6,5.3861650659888e-05,28.6425909096496,29.0583521721312,29.8082897819234,27.80000114,0,0.616205231877524,2.21556211884779,0
"Odontitella virgata",1,FALSE,1,1,1,3.40287517531557e-05,23.9280785566014,24.2922412249255,24.9776335833825,22.70000076,7.300000191,1.04525336098143,3.03235258303258,7.300000191
"Atriplex halimus",1,FALSE,1,1,1,0.000194204962480145,27.1267706494081,27.4919499268902,28.1752503432335,25.89999962,0,0.613288065264682,2.20991631317111,0
"Casuarina equisetifolia",2,FALSE,1,2,2,3.66799746368218e-05,26.3263782256803,26.6986547759964,27.3963940219832,25.30000114,0,0.644843080968935,2.27087913917163,0
"Caryophyllales spc",1,FALSE,1,1,1,7.46015227036205e-06,27.1267706494081,27.4919499268902,28.1752503432335,25.89999962,0,0.613288065264683,2.20991631317111,0
"Alliaria petiolata",2,FALSE,1,2,2,5.77929853307792e-05,17.1542538267352,17.5310753981052,18.2299348122719,16,0.448009918397891,5.35621804888286,10.3360000478965,31.89999962
"Eleocharis palustris",1,FALSE,1,1,1,2.05376657438438e-05,27.1267706494081,27.4919499268902,28.1752503432335,25.89999962,15.5,1.76748640721871,4.36318897622276,15.5
"Smyrnium spc",2,FALSE,1,1,2,0.000133646241232781,18.5261289339773,18.8896076877727,19.5742233039799,17.30000114,22.89999962,2.76506644227999,6.11433399682204,22.89999962
"Festuca ovina",2,FALSE,1,2,2,1.29779933859952e-05,17.9859951387649,18.4027181742736,19.1536177299676,17.10000038,9.60842373560747,25.3271615989916,35.2492862866194,58.29999924
"Triticum monococcum",1,TRUE,1,1,1,2.17155266015201e-05,18.6276003327257,18.9919994148118,19.6761318066998,17.39999962,50.4155628940769,67.467456278253,76.5514455579182,109.0999985
"Ornithogalum pyrenaicum",9,FALSE,3,8,9,0.000105692962301832,21.9032203757984,22.835891963786,24.1874479752903,23.20000076,11.8184540512262,31.0315466566016,42.8376819501903,36.29999924
"Knautia drymeia",3,FALSE,2,3,3,1.42870022316554e-05,22.3282175650826,22.8795234338937,23.7612016367263,22,40.3981822578877,60.9335666873497,72.4341652674394,86.59999847
"Salvia verticillata",8,FALSE,1,2,8,0.000156470098625338,22.0958581475793,22.6548872697462,23.5440454945283,21.80000114,31.8569111386757,52.0656263059151,62.6004622851107,57.29999924
"Salvia pratensis",1,FALSE,1,1,1,4.68287111396652e-06,23.0260908788474,23.3910650772184,24.0724756449024,21.80000114,27.1777920731422,44.0329755123338,53.0864972096897,85.59999847
"Silene latifolia",1,FALSE,1,1,1,4.08878224355129e-05,25.7263092401139,26.0918103316175,26.7722092130705,24.5,25.9286549418144,42.7401946904588,51.7976520718784,84.30000305
"Scabiosa columbaria",2,FALSE,1,1,2,2.53475722964568e-05,19.2398127610218,19.6528206664253,20.395558316315,18.30000114,46.1769193785628,63.2362834995957,72.3397973517226,103.3000031
"Clinopodium vulgare",2,FALSE,1,2,2,1.88843763824834e-05,24.0159695638413,24.4515332974887,25.2209917753344,23.20000076,17.4123563339108,35.2570184164105,45.5712603637906,68.30000305
"Centaurea stoebe",5,FALSE,1,2,5,4.12753762611704e-05,24.5637982698807,24.9661004485653,25.6945560745217,23.60000038,10.3166328891742,25.9395351622454,35.4953210370271,58.20000076
"Veronica spuria",1,FALSE,1,1,1,6.53597618529006e-05,24.4270048058274,24.7922602458218,25.47534977354,23.20000076,12.0839649871723,27.3433920677351,36.1366295493581,68.30000305
"Atriplex littoralis",3,FALSE,2,3,3,3.09330942321185e-05,27.0638321962043,27.4951244586497,28.2978330588181,26.60000038,0.699999988,1.8853595178623,4.61730247068654,0.699999988
"Nymphoides peltata",2,FALSE,1,1,2,0.000165531736299009,27.1267706494081,27.4919499268902,28.1752503432335,25.89999962,15.5,1.76748640721871,4.36318897622277,15.5
"Polycnemum majus",7,FALSE,2,6,7,0.00010678314786219,27.4384378640344,27.8632226144836,28.6226426416317,26.60000038,2,1.25946592923827,3.4641080474148,2
"Aurinia saxatilis",1,FALSE,1,1,1,6.98394596017194e-05,13.3264080351462,13.6903331206395,14.3741814875445,12.10000038,21.5475532523242,38.1314292137451,47.1450202075555,79.59999847
"Chenopodium giganteum",5,FALSE,1,4,5,0.000161676119715497,21.660716631234,22.2615838774394,23.2197039846709,21.80000114,58.722588366771,80.2038482447927,91.7992296411199,96.30000305
"Lolium temulentum",4,FALSE,2,4,4,3.76410367540222e-05,20.2356364334528,20.6674609995673,21.4423609031161,19.5,14.4955966690243,33.7198171680362,46.0142965434676,57.29999924
"Sisymbrium polymorphum",2,FALSE,1,1,2,2.65465270063759e-05,19.9960656899015,20.397811516964,21.1262988799926,19,39.4619338981541,60.6689849610841,73.4443561072765,86.40000153
"Seseli libanotis",2,FALSE,1,1,2,5.53638597511736e-05,22.4613563667485,22.8277282405123,23.5139423582463,21.30000114,39.6380772145424,56.985039003869,66.2576017095163,95.40000153
"Campanula trachelium",1,FALSE,1,1,1,2.22229077335966e-05,20.5262322870546,20.889675361849,21.5745005786748,19.30000114,70.9094259628495,87.9642183577134,97.0509974873783,129.6000061
"Cirsium eriophorum",1,FALSE,1,1,1,0.000144635171902053,20.2273024902499,20.5919667766499,21.2753244724526,19,85.3253028715226,102.368203297205,111.459122025949,144
"Spiraea decumbens",5,FALSE,1,4,5,0.000118451860663642,19.7049523556805,22.1019554992387,23.7206085978841,22.70000076,56.5149012584118,73.7910869806224,83.043257400772,113.5999985
"Lamium orvala",2,FALSE,1,2,2,8.33242686431436e-05,15.5018154314726,15.9579301816414,16.7522951460023,14.80000019,111.602992295511,129.366601698727,138.86482219336,164.4000092
"Carex paniculata",1,FALSE,1,1,1,3.82765403896186e-05,16.0285515137213,16.3933588462292,17.0783042214522,14.80000019,105.737813618684,122.773390791864,131.861160373904,164.4000092
"Rhinanthus glacialis",2,FALSE,1,2,2,5.52267311466796e-05,15.784116925428,16.186821902422,16.9181811853248,14.80000019,108.787106666668,126.292544870736,135.652039719889,164.4000092
